Date, Open, High, Low, Close
06/18/24, 38779.12, 38936.93, 38727.67, 38834.86
06/17/24, 38565.18, 38839.88, 38431.95, 38778.10
06/14/24, 38528.39, 38595.24, 38305.85, 38589.16
06/13/24, 38677.12, 38712.21, 38407.70, 38647.10
06/12/24, 38950.65, 39120.26, 38621.45, 38712.21
06/11/24, 38795.71, 38795.71, 38446.24, 38747.42
06/10/24, 38784.90, 38877.86, 38665.45, 38868.04
06/07/24, 38861.24, 39105.23, 38751.85, 38798.99
06/06/24, 38825.40, 39004.16, 38735.99, 38886.17
06/05/24, 38774.82, 38844.32, 38548.77, 38807.33
06/04/24, 38518.86, 38786.62, 38397.82, 38711.29
06/03/24, 38709.99, 38735.61, 38247.22, 38571.03
05/31/24, 38140.26, 38719.43, 38092.27, 38686.32
05/30/24, 38368.35, 38493.60, 38000.96, 38111.48
05/29/24, 38716.28, 38716.28, 38413.67, 38441.54
05/28/24, 39028.99, 39028.99, 38706.14, 38852.86
05/24/24, 39089.23, 39220.31, 39020.29, 39069.59
05/23/24, 39694.95, 39694.95, 39025.51, 39065.26
05/22/24, 39863.33, 39890.91, 39559.09, 39671.04
05/21/24, 39804.40, 39905.80, 39778.73, 39872.99
05/20/24, 39989.76, 40077.40, 39787.09, 39806.77
05/17/24, 39911.72, 40010.88, 39858.86, 40003.59
05/16/24, 39912.34, 40051.05, 39864.68, 39869.38
05/15/24, 39615.10, 39935.04, 39615.10, 39908.00
05/14/24, 39466.76, 39616.41, 39371.92, 39558.11
05/13/24, 39591.28, 39647.39, 39403.05, 39431.51
05/10/24, 39466.52, 39579.88, 39406.26, 39512.84
05/09/24, 39064.27, 39413.66, 38988.85, 39387.76
05/08/24, 38818.90, 39094.74, 38814.99, 39056.39
05/07/24, 38858.94, 38977.61, 38840.40, 38884.26
05/06/24, 38762.43, 38886.47, 38689.38, 38852.27
05/03/24, 38709.36, 38808.52, 38518.28, 38675.68
05/02/24, 38075.65, 38295.29, 37895.66, 38225.66
05/01/24, 37845.56, 38349.20, 37780.54, 37903.29
04/30/24, 38337.40, 38337.40, 37810.12, 37815.92
04/29/24, 38282.16, 38406.20, 38215.47, 38386.09
04/26/24, 38114.70, 38337.64, 38065.05, 38239.66
04/25/24, 38052.09, 38157.22, 37754.38, 38085.80
04/24/24, 38552.79, 38552.79, 38310.55, 38460.92
04/23/24, 38356.07, 38561.50, 38297.72, 38503.69
04/22/24, 38116.89, 38447.16, 37985.07, 38239.98
04/19/24, 37801.98, 38102.57, 37781.61, 37986.40
04/18/24, 37847.21, 38083.76, 37681.52, 37775.38
04/17/24, 37949.67, 38036.70, 37611.56, 37753.31
04/16/24, 37992.22, 37992.22, 37713.70, 37798.97
04/15/24, 38075.38, 38386.81, 37657.79, 37735.11
04/12/24, 38319.14, 38319.14, 37877.30, 37983.24
04/11/24, 38523.26, 38598.98, 38197.28, 38459.08
04/10/24, 38662.28, 38662.28, 38304.66, 38461.51
04/09/24, 38983.66, 38992.89, 38572.09, 38883.67
04/08/24, 38916.42, 39013.20, 38857.70, 38892.80
04/05/24, 38664.98, 39040.17, 38602.18, 38904.04
04/04/24, 39343.60, 39421.35, 38559.42, 38596.98
04/03/24, 39139.59, 39305.76, 39017.13, 39127.14
04/02/24, 39256.27, 39256.27, 39051.70, 39170.24
04/01/24, 39807.93, 39815.00, 39491.22, 39566.85
03/28/24, 39763.74, 39868.59, 39717.25, 39807.37
03/27/24, 39461.98, 39769.41, 39461.98, 39760.08
03/26/24, 39338.32, 39439.44, 39277.19, 39282.33
03/25/24, 39410.54, 39430.17, 39296.03, 39313.64
03/22/24, 39774.06, 39824.76, 39469.53, 39475.90
