CompanyEXTID,Company Name,City,State
1,Yadel,Cheyenne,Wyoming
2,Camido,Stamford,Connecticut
3,Trudeo,Seattle,Washington
4,Gigaclub,Anchorage,Alaska
5,Brainverse,Troy,Michigan
6,Riffpedia,San Jose,California
7,Tagtune,Miami,Florida
8,LiveZ,Athens,Georgia
9,Edgeblab,Austin,Texas
10,Aibox,Joliet,Illinois
11,Zoomzone,Charleston,South Carolina
12,Flipbug,Fort Wayne,Indiana
13,Omba,Portland,Oregon
14,Gigashots,Canton,Ohio
15,Skidoo,Cincinnati,Ohio
16,Gabtype,Charlotte,North Carolina
17,Linkbuzz,Brooklyn,New York
18,Twitternation,Arlington,Texas
19,Brightbean,New York City,New York
20,Edgeify,Charleston,South Carolina
21,Roodel,Des Moines,Iowa
22,Skyvu,Montgomery,Alabama
23,Wikivu,Saint Louis,Missouri
24,Wikido,San Francisco,California
25,Realpoint,Pittsburgh,Pennsylvania
26,Aibox,Albuquerque,New Mexico
27,Livepath,Richmond,Virginia
28,Realcube,Los Angeles,California
29,Twimm,Greensboro,North Carolina
30,Youopia,Independence,Missouri
31,Jaxbean,Nashville,Tennessee
32,Skajo,Newark,New Jersey
33,Jabberbean,Panama City,Florida
34,Voomm,Topeka,Kansas
35,Linkbuzz,Cincinnati,Ohio
36,Riffwire,Wilmington,North Carolina
37,Oozz,Fresno,California
38,Yozio,Washington,District of Columbia
39,Fivespan,Seattle,Washington
40,DabZ,Simi Valley,California
41,BlogXS,Woburn,Massachusetts
42,Mudo,Lafayette,Louisiana
43,Meevee,Corpus Christi,Texas
44,Kimia,Charleston,West Virginia
45,Abata,Aurora,Colorado
46,Digitube,Shreveport,Louisiana
47,Feedfish,Savannah,Georgia
48,Realbuzz,Vancouver,Washington
49,Topiclounge,Bronx,New York
50,Twiyo,Boulder,Colorado
51,Skimia,Midland,Texas
52,Livetube,Tacoma,Washington
53,Trudeo,White Plains,New York
54,Realbuzz,Seattle,Washington
55,Bluezoom,Lancaster,Pennsylvania
56,Kwilith,Duluth,Georgia
57,Kaymbo,Richmond,Virginia
58,Topicstorm,Topeka,Kansas
59,Skipfire,Greensboro,North Carolina
60,Thoughtbeat,Alexandria,Virginia
61,Blogtags,Birmingham,Alabama
62,Ailane,Jackson,Mississippi
63,Photobug,Birmingham,Alabama
64,Oyoloo,North Little Rock,Arkansas
65,Devbug,Houston,Texas
66,Photobean,Miami,Florida
67,Wordtune,New York City,New York
68,Yakijo,Denver,Colorado
69,Fivespan,Philadelphia,Pennsylvania
70,Linklinks,Houston,Texas
71,Oozz,Indianapolis,Indiana
72,Livetube,El Paso,Texas
73,Jazzy,Dayton,Ohio
74,Latz,Montgomery,Alabama
75,Twitternation,Springfield,Massachusetts
76,Photobean,Newark,Delaware
77,Chatterbridge,Charlottesville,Virginia
78,Npath,San Francisco,California
79,Oozz,North Port,Florida
80,BlogXS,Philadelphia,Pennsylvania
81,Meezzy,Boise,Idaho
82,Eidel,Greensboro,North Carolina
83,Cogilith,Anaheim,California
84,Trilia,Bakersfield,California
85,Ntag,Mobile,Alabama
86,Ntag,Seattle,Washington
87,Bluejam,Colorado Springs,Colorado
88,Tagchat,Little Rock,Arkansas
89,Thoughtworks,Tulsa,Oklahoma
90,Lajo,Biloxi,Mississippi
91,Roomm,Bronx,New York
92,Twitterwire,Oklahoma City,Oklahoma
93,Mudo,Baton Rouge,Louisiana
94,Rhycero,Chicago,Illinois
95,Meemm,Milwaukee,Wisconsin
96,Kayveo,Madison,Wisconsin
97,Realbridge,Peoria,Illinois
98,Talane,Chicago,Illinois
99,Midel,Evanston,Illinois
100,Trilith,Springfield,Virginia
