CompanEXTID,Amount,Project Name,Oppurtunity Name,Stage,Close Date
1,"$441,104.45 ",healthy accents cetirizine hydrochloride,healthy accents cetirizine hydrochloride,Closed Lost,11/25/15
2,"$15,265.78 ",SOFT AND PRECIOUS NURSERY,SOFT AND PRECIOUS NURSERY,Closed Lost,1/5/15
3,"$890,341.82 ",Hydrochlorothiazide,Hydrochlorothiazide,Closed Lost,10/24/15
4,"$250,374.17 ",Good Neighbor Pharmacy ibuprofen,Good Neighbor Pharmacy ibuprofen,Closed Lost,1/31/15
5,"$177,316.97 ",Clearskin Professional,Clearskin Professional,Closed Lost,3/20/15
6,"$952,044.35 ",Salt Cedar,Salt Cedar,Closed Lost,9/22/15
7,"$74,380.82 ",Bupivacaine Hydrochloride,Bupivacaine Hydrochloride,Closed Won,6/5/15
8,"$745,072.27 ",cold and sinus pain relief,cold and sinus pain relief,Closed Won,8/1/15
9,"$522,411.07 ",4 Way,4 Way,Closed Won,1/16/15
10,"$469,643.44 ",DEMEROL,DEMEROL,Closed Won,4/8/15
11,"$813,593.75 ",sunmark ibuprofen,sunmark ibuprofen,Closed Won,6/26/15
12,"$437,226.24 ",Pumpkin Spice Antibacterial Foaming Hand Wash,Pumpkin Spice Antibacterial Foaming Hand Wash,Closed Won,4/5/15
13,"$833,013.00 ",EXTRASHADE Daily Defense Hydrating Sunscreen SPF 30,EXTRASHADE Daily Defense Hydrating Sunscreen SPF 30,Closed Won,5/14/15
14,"$206,388.44 ",Escitalopram,Escitalopram,Closed Won,9/11/15
15,"$563,933.37 ",Wheat Stem Rust,Wheat Stem Rust,Closed Won,4/5/15
16,"$213,259.37 ",Energize RXS,Energize RXS,Finalize/Negotiate,4/9/15
17,"$542,327.95 ",Magnesium Citrate,Magnesium Citrate,Finalize/Negotiate,1/25/15
18,"$541,553.99 ",TRAMADOL HYDROCHLORIDE,TRAMADOL HYDROCHLORIDE,Finalize/Negotiate,12/29/15
19,"$945,549.85 ",amifostine,amifostine,Finalize/Negotiate,1/26/15
20,"$197,558.77 ",Cefadroxil,Cefadroxil,Finalize/Negotiate,10/3/15
21,"$575,342.32 ",Enoxaparin Sodium,Enoxaparin Sodium,Finalize/Negotiate,10/1/15
22,"$942,451.50 ",Terrasil Rapid-Clear Anti-Fungal,Terrasil Rapid-Clear Anti-Fungal,Finalize/Negotiate,10/2/15
23,"$959,101.80 ",Rifater,Rifater,Finalize/Negotiate,1/31/15
24,"$573,194.22 ",IOPE RETIGEN MOISTURE FOUNDATION,IOPE RETIGEN MOISTURE FOUNDATION,Finalize/Negotiate,4/12/15
25,"$433,772.85 ",Amoxicillin,Amoxicillin,Finalize/Negotiate,5/6/15
26,"$178,326.86 ",RELNATE DHA,RELNATE DHA,Finalize/Negotiate,5/30/15
27,"$610,079.51 ",Quetiapine Fumarate,Quetiapine Fumarate,Finalize/Negotiate,3/4/15
28,"$351,478.84 ",Pantoprazole Sodium,Pantoprazole Sodium,Finalize/Negotiate,4/26/15
29,"$896,407.27 ",Cephalexin,Cephalexin,Specification,4/4/15
30,"$472,619.56 ",Sertraline Hydrochloride,Sertraline Hydrochloride,Specification,8/31/15
31,"$117,316.44 ",Topiramate,Topiramate,Specification,5/6/15
32,"$321,262.85 ","Pollens - Weeds, Kochia scoparia","Pollens - Weeds, Kochia scoparia",Specification,9/24/15
33,"$79,235.35 ",BOBBIE BROWN CORRECTIVE SPOT TREATMENT BROAD SPECTRUM,BOBBIE BROWN CORRECTIVE SPOT TREATMENT BROAD SPECTRUM,Specification,1/9/15
34,"$65,761.89 ",Abstral,Abstral,Specification,2/22/15
35,"$214,495.15 ",Herbalife SKIN,Herbalife SKIN,Specification,10/16/15
